Date,Description,Amount
2024-01-01,Netflix,-15.99
2024-01-01,Spotify,-9.99
2024-01-02,Uber Eats,-34.50
2024-01-03,Amazon,-67.99
2024-01-04,Starbucks,-6.75
2024-01-05,Uber,-22.00
2024-01-06,Whole Foods,-89.43
2024-01-07,GitHub,-10.00
2024-01-08,McDonald's,-12.45
2024-01-09,Shell Gas,-58.00
2024-01-10,Electric Bill,-120.00
2024-01-11,Internet - Comcast,-79.99
2024-01-12,Gym Membership,-49.99
2024-01-13,PlayStation Plus,-14.99
2024-01-14,Steam Game,-29.99
2024-01-15,Airbnb,-245.00
2024-01-16,Delta Airlines,-387.00
2024-01-17,CVS Pharmacy,-23.50
2024-01-18,Trader Joe's,-76.32
2024-01-19,Zoom Pro,-14.99
2024-01-20,Uber Eats,-28.75
2024-01-21,Starbucks,-7.25
2024-01-22,Amazon Prime,-14.99
2024-01-23,Uber,-18.50
2024-01-24,Pizza Hut,-31.00
2024-01-25,Apple iCloud,-2.99
2024-01-26,Kroger,-102.15
2024-01-27,H&M Online,-78.00
2024-01-28,Parking Meter,-8.00
2024-01-29,Doctor Visit,-50.00
2024-01-30,Netflix,-15.99
2024-01-31,Spotify,-9.99
2024-02-01,Uber Eats,-42.00
2024-02-02,Whole Foods,-95.50
2024-02-03,GitHub,-10.00
2024-02-04,Starbucks,-6.50
2024-02-05,Electric Bill,-115.00
2024-02-06,Internet - Comcast,-79.99
2024-02-07,Gym Membership,-49.99
2024-02-08,Amazon,-45.00
2024-02-09,Uber,-25.00
2024-02-10,PlayStation Plus,-14.99
2024-02-11,McDonald's,-10.99
2024-02-12,Shell Gas,-62.00
2024-02-13,Dropbox Plus,-11.99
2024-02-14,Restaurant Valentine,-89.00
2024-02-15,Steam Purchase,-49.99
2024-02-16,Trader Joe's,-81.20
2024-02-17,Zoom Pro,-14.99
2024-02-18,Netflix,-15.99
2024-02-19,Spotify,-9.99
2024-02-20,Uber Eats,-31.50
2024-02-21,Apple Music,-10.99
2024-02-22,Lyft,-16.00
2024-02-23,CVS Pharmacy,-34.75
2024-02-24,IKEA,-156.00
2024-02-25,Amazon Prime,-14.99
2024-02-26,Parking,-12.00
2024-02-27,Kroger,-88.40
2024-02-28,GitHub,-10.00
2024-03-01,Netflix,-15.99
2024-03-01,Spotify,-9.99
2024-03-02,Uber Eats,-37.25
2024-03-03,Amazon,-112.40
2024-03-04,Starbucks,-8.00
2024-03-05,Gym Membership,-49.99
2024-03-06,Electric Bill,-108.00
2024-03-07,Internet - Comcast,-79.99
2024-03-08,Whole Foods,-92.30
2024-03-09,Uber,-20.50
2024-03-10,PlayStation Plus,-14.99
2024-03-11,Shell Gas,-55.00
2024-03-12,GitHub,-10.00
2024-03-13,Zoom Pro,-14.99
2024-03-14,McDonald's,-9.99
2024-03-15,Disney Plus,-13.99
2024-03-16,Trader Joe's,-74.80
2024-03-17,Airbnb,-310.00
2024-03-18,Lyft,-19.00
2024-03-19,CVS Pharmacy,-28.00
2024-03-20,Apple iCloud,-2.99
2024-03-21,Amazon Prime,-14.99
2024-03-22,Uber Eats,-29.00
2024-03-23,Kroger,-97.65
2024-03-24,Netflix,-15.99
2024-03-25,Spotify,-9.99
2024-03-26,Steam Game,-19.99
2024-03-27,Parking,-10.00
2024-03-28,Hospital Copay,-100.00
2024-03-29,GitHub,-10.00
2024-03-30,Starbucks,-7.50
2024-03-31,Zoom Pro,-14.99
